id,type,name,provinceId
1,Quận,Quận Ba Đình,1
2,Quận,Quận Hoàn Kiếm,1
3,Quận,Quận Tây Hồ,1
4,Quận,Quận Long Biên,1
5,Quận,Quận Cầu Giấy,1
6,Quận,Quận Đống Đa,1
7,Quận,Quận Hai Bà Trưng,1
8,Quận,Quận Hoàng Mai,1
9,Quận,Quận Thanh Xuân,1
16,Huyện,Huyện Sóc Sơn,1
17,Huyện,Huyện Đông Anh,1
18,Huyện,Huyện Gia Lâm,1
19,Quận,Quận Nam Từ Liêm,1
20,Huyện,Huyện Thanh Trì,1
21,Quận,Quận Bắc Từ Liêm,1
250,Huyện,Huyện Mê Linh,1
268,Quận,Quận Hà Đông,1
269,Thị xã,Thị xã Sơn Tây,1
271,Huyện,Huyện Ba Vì,1
272,Huyện,Huyện Phúc Thọ,1
273,Huyện,Huyện Đan Phượng,1
274,Huyện,Huyện Hoài Đức,1
275,Huyện,Huyện Quốc Oai,1
276,Huyện,Huyện Thạch Thất,1
277,Huyện,Huyện Chương Mỹ,1
278,Huyện,Huyện Thanh Oai,1
279,Huyện,Huyện Thường Tín,1
280,Huyện,Huyện Phú Xuyên,1
281,Huyện,Huyện Ứng Hòa,1
282,Huyện,Huyện Mỹ Đức,1
24,Thành phố,Thành phố Hà Giang,2
26,Huyện,Huyện Đồng Văn,2
27,Huyện,Huyện Mèo Vạc,2
28,Huyện,Huyện Yên Minh,2
29,Huyện,Huyện Quản Bạ,2
30,Huyện,Huyện Vị Xuyên,2
31,Huyện,Huyện Bắc Mê,2
32,Huyện,Huyện Hoàng Su Phì,2
33,Huyện,Huyện Xín Mần,2
34,Huyện,Huyện Bắc Quang,2
35,Huyện,Huyện Quang Bình,2
40,Thành phố,Thành phố Cao Bằng,4
42,Huyện,Huyện Bảo Lâm,4
43,Huyện,Huyện Bảo Lạc,4
45,Huyện,Huyện Hà Quảng,4
47,Huyện,Huyện Trùng Khánh,4
48,Huyện,Huyện Hạ Lang,4
49,Huyện,Huyện Quảng Hòa,4
51,Huyện,Huyện Hoà An,4
52,Huyện,Huyện Nguyên Bình,4
53,Huyện,Huyện Thạch An,4
58,Thành phố,Thành Phố Bắc Kạn,6
60,Huyện,Huyện Pác Nặm,6
61,Huyện,Huyện Ba Bể,6
62,Huyện,Huyện Ngân Sơn,6
63,Huyện,Huyện Bạch Thông,6
64,Huyện,Huyện Chợ Đồn,6
65,Huyện,Huyện Chợ Mới,6
66,Huyện,Huyện Na Rì,6
70,Thành phố,Thành phố Tuyên Quang,8
71,Huyện,Huyện Lâm Bình,8
72,Huyện,Huyện Na Hang,8
73,Huyện,Huyện Chiêm Hóa,8
74,Huyện,Huyện Hàm Yên,8
75,Huyện,Huyện Yên Sơn,8
76,Huyện,Huyện Sơn Dương,8
80,Thành phố,Thành phố Lào Cai,10
82,Huyện,Huyện Bát Xát,10
83,Huyện,Huyện Mường Khương,10
84,Huyện,Huyện Si Ma Cai,10
85,Huyện,Huyện Bắc Hà,10
86,Huyện,Huyện Bảo Thắng,10
87,Huyện,Huyện Bảo Yên,10
88,Thị xã,Thị xã Sa Pa,10
89,Huyện,Huyện Văn Bàn,10
94,Thành phố,Thành phố Điện Biên Phủ,11
95,Thị xã,Thị Xã Mường Lay,11
96,Huyện,Huyện Mường Nhé,11
