id,type,name,districtId
1,Phường,Phường Phúc Xá,1
4,Phường,Phường Trúc Bạch,1
6,Phường,Phường Vĩnh Phúc,1
7,Phường,Phường Cống Vị,1
8,Phường,Phường Liễu Giai,1
10,Phường,Phường Nguyễn Trung Trực,1
13,Phường,Phường Quán Thánh,1
16,Phường,Phường Ngọc Hà,1
19,Phường,Phường Điện Biên,1
22,Phường,Phường Đội Cấn,1
25,Phường,Phường Ngọc Khánh,1
28,Phường,Phường Kim Mã,1
31,Phường,Phường Giảng Võ,1
34,Phường,Phường Thành Công,1
37,Phường,Phường Phúc Tân,2
40,Phường,Phường Đồng Xuân,2
43,Phường,Phường Hàng Mã,2
46,Phường,Phường Hàng Buồm,2
49,Phường,Phường Hàng Đào,2
52,Phường,Phường Hàng Bồ,2
55,Phường,Phường Cửa Đông,2
58,Phường,Phường Lý Thái Tổ,2
61,Phường,Phường Hàng Bạc,2
64,Phường,Phường Hàng Gai,2
67,Phường,Phường Chương Dương,2
70,Phường,Phường Hàng Trống,2
73,Phường,Phường Cửa Nam,2
76,Phường,Phường Hàng Bông,2
79,Phường,Phường Tràng Tiền,2
82,Phường,Phường Trần Hưng Đạo,2
85,Phường,Phường Phan Chu Trinh,2
88,Phường,Phường Hàng Bài,2
91,Phường,Phường Phú Thượng,3
94,Phường,Phường Nhật Tân,3
97,Phường,Phường Tứ Liên,3
100,Phường,Phường Quảng An,3
103,Phường,Phường Xuân La,3
106,Phường,Phường Yên Phụ,3
109,Phường,Phường Bưởi,3
112,Phường,Phường Thụy Khuê,3
115,Phường,Phường Thượng Thanh,4
118,Phường,Phường Ngọc Thụy,4
121,Phường,Phường Giang Biên,4
124,Phường,Phường Đức Giang,4
127,Phường,Phường Việt Hưng,4
130,Phường,Phường Gia Thụy,4
133,Phường,Phường Ngọc Lâm,4
136,Phường,Phường Phúc Lợi,4
139,Phường,Phường Bồ Đề,4
142,Phường,Phường Sài Đồng,4
145,Phường,Phường Long Biên,4
148,Phường,Phường Thạch Bàn,4
151,Phường,Phường Phúc Đồng,4
154,Phường,Phường Cự Khối,4
157,Phường,Phường Nghĩa Đô,5
160,Phường,Phường Nghĩa Tân,5
163,Phường,Phường Mai Dịch,5
166,Phường,Phường Dịch Vọng,5
167,Phường,Phường Dịch Vọng Hậu,5
169,Phường,Phường Quan Hoa,5
172,Phường,Phường Yên Hoà,5
175,Phường,Phường Trung Hoà,5
178,Phường,Phường Cát Linh,6
181,Phường,Phường Văn Miếu,6
184,Phường,Phường Quốc Tử Giám,6
187,Phường,Phường Láng Thượng,6
190,Phường,Phường Ô Chợ Dừa,6
193,Phường,Phường Văn Chương,6
196,Phường,Phường Hàng Bột,6
199,Phường,Phường Láng Hạ,6
202,Phường,Phường Khâm Thiên,6
205,Phường,Phường Thổ Quan,6
208,Phường,Phường Nam Đồng,6
211,Phường,Phường Trung Phụng,6
214,Phường,Phường Quang Trung,6
217,Phường,Phường Trung Liệt,6
220,Phường,Phường Phương Liên,6
223,Phường,Phường Thịnh Quang,6
226,Phường,Phường Trung Tự,6
229,Phường,Phường Kim Liên,6
232,Phường,Phường Phương Mai,6
235,Phường,Phường Ngã Tư Sở,6
238,Phường,Phường Khương Thượng,6
241,Phường,Phường Nguyễn Du,7
244,Phường,Phường Bạch Đằng,7
247,Phường,Phường Phạm Đình Hổ,7
256,Phường,Phường Lê Đại Hành,7
259,Phường,Phường Đồng Nhân,7
262,Phường,Phường Phố Huế,7
265,Phường,Phường Đống Mác,7
268,Phường,Phường Thanh Lương,7
271,Phường,Phường Thanh Nhàn,7
274,Phường,Phường Cầu Dền,7
277,Phường,Phường Bách Khoa,7
280,Phường,Phường Đồng Tâm,7
283,Phường,Phường Vĩnh Tuy,7
286,Phường,Phường Bạch Mai,7
289,Phường,Phường Quỳnh Mai,7
292,Phường,Phường Quỳnh Lôi,7
295,Phường,Phường Minh Khai,7
298,Phường,Phường Trương Định,7
301,Phường,Phường Thanh Trì,8
304,Phường,Phường Vĩnh Hưng,8
307,Phường,Phường Định Công,8
310,Phường,Phường Mai Động,8
313,Phường,Phường Tương Mai,8
316,Phường,Phường Đại Kim,8
319,Phường,Phường Tân Mai,8
322,Phường,Phường Hoàng Văn Thụ,8
325,Phường,Phường Giáp Bát,8
328,Phường,Phường Lĩnh Nam,8
331,Phường,Phường Thịnh Liệt,8
334,Phường,Phường Trần Phú,8
337,Phường,Phường Hoàng Liệt,8
340,Phường,Phường Yên Sở,8
343,Phường,Phường Nhân Chính,9
346,Phường,Phường Thượng Đình,9
349,Phường,Phường Khương Trung,9
352,Phường,Phường Khương Mai,9
355,Phường,Phường Thanh Xuân Trung,9
